Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
257,47,4,0,100,0.390036,2.104434,0,3578.149458
258,48,4,84.286423,61.782178,0.733992,22.104901,18.582521,86.233509
259,49,4,35.662986,0,0.014022,4.697918,0,3328.879073
260,50,4,100,4.962697,0.427342,22.104901,15.5429,73.579921
261,51,4,68.563314,44.463821,0.086268,22.104901,17.297331,79.129082
262,52,4,25.442046,10.065078,1.415411,12.423097,6.353598,42.75607
263,53,4,0,100,0.890401,1.685326,0,3647.868842
264,54,4,0,0.288068,0.166564,0.586675,0,3607.365241
265,55,4,24.551982,100,0.489573,18.430854,26.080847,67.652412
266,56,4,5.761828,0,1.01204,2.774933,0,2971.089496
267,57,4,1.076133,81.956511,0.528279,2.740162,5.464069,123.700092
268,58,4,89.903807,0,1.213667,6.130599,0,3216.80027
269,59,4,0,0,0.01708,0.0616,0,3608.124193
270,60,4,39.159724,25.855415,0.701757,22.104901,18.600853,65.048003
271,61,4,0,41.840681,0.679251,1.424193,0,3666.073201
272,62,4,34.81094,7.076238,0.547675,17.590923,15.706953,53.474181
273,63,4,0,60.857695,0.730856,1.357534,0,3595.849687
274,64,4,19.722955,0,1.796577,3.872578,0,2931.947033
275,65,4,3.559401,0,0.024456,1.669883,0,3480.577034
276,66,4,0,16.382892,0.787205,1.070613,0,3618.614413
277,67,4,93.917107,29.797451,0.660115,22.104901,17.227214,85.231399
278,68,4,0,0,1.134444,0.892733,0,3603.093402
279,69,4,25.551485,0,0.002213,2.150736,0,3524.219184
280,0,5,10.008222,20.005304,0,10.742832,27.974603,73.236183
281,1,5,8.533612,27.14217,0.098776,8.476789,53.108391,83.364477
282,2,5,0,100,0.433002,2.103383,0,3578.226282
283,3,5,0,0,0.001825,0.055738,0,3608.189783
284,4,5,0,0,0.037564,0.068394,0,3608.201189
285,5,5,63.383867,0.34897,1.167764,6.130599,0,455.236748
286,6,5,0.189172,0,0.014434,0.08106,0,3603.762835
287,7,5,1.464311,0,0.012194,0.462624,0,3579.872379
288,8,5,0.2834,0.965876,0,0.383023,0,546.325865
289,9,5,0,48.11933,0.247671,2.204321,0,3686.055015
290,10,5,4.903564,0,0.014452,1.675128,0,3501.113203
291,11,5,77.280187,43.736234,0,22.104901,17.527689,79.667231
292,12,5,0.208522,0,0.042751,0.153043,0,3594.013098
293,13,5,72.347799,91.028768,0.137992,22.104901,17.753966,81.129396
294,14,5,59.127525,46.136652,1.496644,22.104901,18.921586,70.302113
295,15,5,52.530154,28.126721,1.846979,22.104901,16.57315,58.331387
296,16,5,100,84.729004,0.050156,22.104901,15.367996,82.982851
297,17,5,5.156279,29.92875,0,6.130599,25.986763,76.574465
298,18,5,0,93.692723,0.219278,2.112603,0,3577.618613
299,19,5,44.301977,77.045393,0.045785,22.104901,16.476247,70.749234
300,20,5,0,27.082252,0,2.659106,0,3680.307229
301,21,5,0,0,0.008189,0.060066,0,3608.146953
302,22,5,63.586178,0,0.801824,4.986197,0,3057.157518
303,23,5,22.318695,6.40938,1.213891,9.82311,3.02218,40.135909
304,24,5,4.46252,0,0.017821,1.73052,0,3490.189102
305,25,5,100,0,0.803438,6.130599,0,3205.683108
306,26,5,16.689562,0,0.010631,3.346955,0,3415.326183
307,27,5,3.603346,0,0.006633,0.715144,0,3570.766366
308,28,5,4.221535,0,0.010073,1.140947,0,3541.677048
309,29,5,38.609543,86.097712,0,22.104901,17.450827,70.023053
310,30,5,33.034534,0.843328,0,21.623712,20.250426,57.095035
311,31,5,0,0,0.136536,0.216312,0,3606.345542
